# Rime user dictionary
#@/db_name	flypy_flypy
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	16891
#@/user_id	lakuhana
bj[dl uj[lk ds[dk 	半山洞	c=1 d=3.79924e-27 t=16891
bj[dl yr[kr 	半圆	c=2 d=0.00230736 t=16891
bj[fy bu[ad ds[el 	搬不动	c=1 d=8.70394e-15 t=16891
bj[ld 	办	c=1 d=2.30716e-12 t=16891
bj[ld fa[ds 	办法	c=4 d=1.80492e-06 t=16891
bj[ld gs[bs ui[bt 	办公室	c=3 d=1.38104e-12 t=16891
bj[my 	板	c=6 d=1.36597e-08 t=16891
bj[py bf[aa 	版本	c=4 d=9.18478e-22 t=16891
bj[rb uz[pl li[pv 	伴手礼	c=1 d=9.5564e-26 t=16891
bj[ww 	班	c=1 d=6.3926e-31 t=16891
bk[bb 	病	c=3 d=1.26642e-14 t=16891
bk[bk bu[ad hv[rs 	并不会	c=1 d=8.00558e-31 t=16891
bk[bk bu[ad ui[or 	并不是	c=1 d=1.19368e-24 t=16891
bk[bk ji[ak 	并击	c=2 d=2.48932e-16 t=16891
bk[bk qp[la 	并且	c=6 d=0.00235423 t=16891
bk[bk wh[kx 	并网	c=1 d=7.67313e-32 t=16891
bk[du xl[vo 	冰箱	c=1 d=0.111359 t=16891
bm[rg 	便	c=2 d=1.13469e-16 t=16891
bm[rg hv[rs 	便会	c=1 d=1.49874e-25 t=16891
bm[rg jp[fr 	便捷	c=1 d=0.0130365 t=16891
bm[rg xp[fn 	便携	c=2 d=0.013912 t=16891
bm[rg xt[pm 	便血	c=1 d=1.59196e-29 t=16891
bm[sc ji[ie 	编辑	c=1 d=2.53055e-11 t=16891
bm[sc ma[um 	编码	c=2 d=0.115663 t=16891
bm[sc xp[by 	编写	c=1 d=3.04688e-19 t=16891
bm[wy 	变	c=1 d=1.1461e-16 t=16891
bm[wy de[ic 	变得	c=1 d=6.06615e-32 t=16891
bm[wy hv[kk 	变回	c=1 d=5.38675e-17 t=16891
bm[wy hx[rb 	变化	c=3 d=0.0937761 t=16891
bm[wy ig[wv 	变成	c=6 d=0.932507 t=16891
bm[wy jn[rh 	变焦	c=1 d=2.09194e-07 t=16891
bm[wy ww[dd 	变为	c=1 d=1.82932e-17 t=16891
bm[wy xk[kp 	变形	c=3 d=1.06096e-30 t=16891
bm[wy xn[ld 	变小	c=1 d=1.77737e-31 t=16891
bm[zl 	边	c=1 d=4.06847e-09 t=16891
bm[zl du[gy 	边度	c=1 d=0.0773047 t=16891
bm[zl du[yd 	边读	c=1 d=0.0769192 t=16891
bm[zl ge[rl 	边个	c=2 d=2.73534e-07 t=16891
bm[zl kx[zk ju[zj 	边跨距	c=1 d=4.91042e-16 t=16891
bm[zl lu[zk 	边路	c=4 d=0.00369147 t=16891
bn[fy da[zd ui[yg 	表达式	c=3 d=2.02594e-07 t=16891
bn[fy ge[dk 	表哥	c=1 d=2.07537e-31 t=16891
bn[fy mm[aa 	表面	c=2 d=4.37699e-16 t=16891
bn[fy qk[xo 	表情	c=2 d=2.17355e-16 t=16891
bn[fy ui[ex 	表示	c=4 d=0.13092 t=16891
bn[fy vc[og 	表曌	c=1 d=0.00137404 t=16891
bn[fy yj[db 	表演	c=1 d=1.53721e-29 t=16891
bn[mx gc[wk 	标高	c=2 d=6.3814e-27 t=16891
bn[mx qm[va ye[ar 	标签页	c=1 d=0.000572785 t=16891
bn[mx ti[or lj[ms 	标题栏	c=1 d=0.000788798 t=16891
